"id","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","HEIGHT","TEMP"
"Khani1",274233.007090115,4092633.94165037,2013-06-15 13:30:44,-1962.15424736851,-455.005201001186,2014.21920937231,10830,100268794.178873,-2.91372936025827,-0.607491166053616,3961.7,11
"Khani1",272270.852842746,4092178.93644937,2013-06-15 16:31:14,-576.327880852856,-816.22393446276,999.187338509757,10769,143457380.234072,-2.18559812042654,0.728131239831728,3024.46,19
"Khani1",271694.524961893,4091362.71251491,2013-06-15 19:30:43,-473.789785368426,-546.899188015144,723.585159170006,10800,158716450.705841,-2.28468910630118,-0.0990909858746405,3299.9,14
"Khani1",271220.735176525,4090815.81332689,2013-06-15 22:30:43,-1986.2600750149,-236.047040228732,2000.23680868015,21600,172332666.748441,-3.02330747030011,-0.738618363998926,3638.35,11
"Khani1",269234.47510151,4090579.76628667,2013-06-16 04:30:43,-1511.54431106185,1511.50523111317,2137.61883131346,10800,228848652.283009,2.35620741751892,-0.903670419360558,4437.21,9
"Khani1",267722.930790448,4092091.27151778,2013-06-16 07:30:43,62.1531615421991,23.8392005339265,66.5681828788157,10800,273112227.634408,0.366250395038636,-1.98995702248028,3995.84,14
"Khani1",267785.08395199,4092115.11071831,2013-06-16 10:30:43,-3141.88651024527,-1380.38206656603,3431.74962562223,10800,271045293.360906,-2.72763202031055,-3.09388241534919,4036.74,31
"Khani1",264643.197441745,4090734.72865175,2013-06-16 13:30:43,-1489.95108840632,-2438.33098705206,2857.51854731714,21619,387204079.52778,-2.11930390292612,0.60832811738443,4258.19,16
"Khani1",263153.246353339,4088296.3976647,2013-06-16 19:31:02,-2948.45000476911,1759.66060161684,3433.62241131804,10800,462193959.456349,2.60352300471851,-1.56035839953496,3577.33,15
"Khani1",260204.79634857,4090056.05826631,2013-06-16 22:31:02,-695.393513950781,159.603416357189,713.474168949165,10781,583706431.043891,2.9159847092085,0.312461704489994,3737.43,10
"Khani1",259509.402834619,4090215.66168267,2013-06-17 01:30:43,-752.360117408505,-1061.44744758261,1301.04436136766,10800,616882843.524244,-2.18740781410101,1.17979278387008,3484.97,10
"Khani1",258757.04271721,4089154.21423509,2013-06-17 04:30:43,-132.767790154874,-467.10489442898,485.607113314989,10802,660559952.348735,-1.84772826707531,0.339679547025692,3603.37,11
"Khani1",258624.274927055,4088687.10934066,2013-06-17 07:30:45,473.233083444851,-890.776525758673,1008.67852664237,21598,670651940.570784,-1.08245532420172,0.76527294287359,3662.33,16
"Khani1",259097.5080105,4087796.3328149,2013-06-17 13:30:43,-1166.90406329697,-43.4560273285024,1167.71294385656,10804,654141777.979269,-3.1043694092925,-2.02191408509077,3878.18,28
"Khani1",257930.603947203,4087752.87678757,2013-06-17 16:30:47,-2878.18998608101,1544.05295297643,3266.20224688739,10796,714599902.353005,2.64919906489117,-0.52961683299592,3247.63,27
