id,alt,date,InBurrow,x,y
tm2,113.28,12/11/2014 18:35,0,452119.735,7974065.344
tm2,94.53,12/11/2014 18:39,0,452098.921,7974021.588
tm2,104.29,12/11/2014 18:49,0,451934.463,7973865.393
tm2,71.13,12/11/2014 18:53,0,451869.747,7973799.177
tm2,131.48,12/11/2014 18:58,0,451838.767,7973764.358
tm2,109.37,12/11/2014 19:03,0,451853.729,7973739.39
tm2,115.2,12/11/2014 19:09,0,451858.175,7973736.303
tm2,98.47,12/11/2014 19:17,0,451846.118,7973740.477
tm2,75.58,12/11/2014 19:22,0,451851.736,7973733.299
tm2,91.84,12/11/2014 19:32,0,451851.344,7973721.238
tm2,70.03,12/11/2014 19:37,0,451835.981,7973737.464
tm2,118.08,12/11/2014 19:42,0,451835.547,7973741.889
tm2,77.68,12/11/2014 19:47,0,451829.133,7973729.038
tm2,62.45,12/11/2014 19:52,0,451822.698,7973724.818
tm2,68.47,12/11/2014 19:57,0,451826.792,7973735.56
tm2,102.74,12/11/2014 20:03,1,451796.0689,7973847.35
tm2,126.38,13/11/2014 12:21,0,451778.865,7973843.318
tm2,110,13/11/2014 12:26,0,451757.097,7973843.263
tm2,86.91,13/11/2014 12:31,0,451786.15,7973845.881
tm2,90.25,13/11/2014 12:35,0,451753.046,7973857.526
tm2,92.1,13/11/2014 12:40,0,451735.3,7973855.047
tm2,103.32,13/11/2014 12:45,0,451733.344,7973834.131
tm2,107.29,13/11/2014 12:50,0,451759.1,7973845.149
tm2,84.62,13/11/2014 12:55,0,451726.477,7973833.45
tm2,65.3,13/11/2014 13:00,0,451733.323,7973842.54
tm2,83.35,13/11/2014 13:05,1,451793.283,7973844.575
tm2,115.64,13/11/2014 17:43,0,451800.637,7973841.823
tm2,91.45,13/11/2014 17:54,0,451798.618,7973846.244
tm2,94.71,13/11/2014 18:00,0,451796.617,7973843.805
tm2,51.94,13/11/2014 18:09,0,451767.342,7973803.347
tm2,98.93,13/11/2014 18:13,0,451744.404,7973763.9
tm2,89.91,13/11/2014 18:18,0,451739.957,7973767.429
